date,home_team_api_id,away_team_api_id,outcome
2009-04-04,4049,9999,A
2009-04-04,8203,8571,D
2009-04-04,9987,10001,A
2009-04-05,9985,9993,H
2009-04-12,8635,8342,H
2009-04-10,9999,9987,H
2009-04-11,9993,10000,A
2009-04-11,9985,9994,H
2009-04-11,8571,7947,A
2009-04-11,9998,8203,A
2009-04-11,9986,9996,H
2009-04-11,9984,4049,H
2009-04-12,9991,10001,H
2008-08-30,8635,8571,H
2008-08-30,9987,9994,H
2008-08-30,9984,9998,H
2008-08-31,9991,9986,H
2008-08-30,7947,9996,A
2008-08-30,8203,10000,A
2008-08-31,9999,9985,D
2008-08-29,4049,8342,A
2008-08-30,10001,9993,H
2009-04-19,10001,8635,A
2009-04-18,9996,9985,A
2009-04-18,8342,9998,H
2009-04-18,4049,9986,H
2009-04-18,8203,9984,A
2009-04-17,9987,9991,D
2009-04-19,7947,9999,H
2009-04-18,10000,8571,H
2009-04-18,9994,9993,H
2009-04-24,9993,8342,H
2009-04-26,9984,9987,A
2009-04-25,9986,10000,H
2009-04-26,9999,9991,A
2009-04-25,8635,7947,H
2009-04-25,9985,8203,H
2009-04-25,9994,9996,H
2009-04-25,8571,4049,D
2009-04-25,9998,10001,A
2009-05-03,4049,8635,D
2009-05-02,10000,9985,D
2009-05-02,7947,9998,D
2009-05-02,8203,9986,H
2009-05-02,9991,9984,H
2009-05-01,8342,9994,A
2009-05-02,10001,9999,H
2009-05-03,9987,8571,A
2009-05-02,9996,9993,H
2009-05-09,9985,8342,H
2009-05-09,9986,9987,H
2009-05-09,9996,10000,A
2009-05-09,8571,9991,A
2009-05-09,9994,7947,A
2009-05-08,9993,8203,H
2009-05-09,8635,9999,H
2009-05-09,9998,4049,D
2009-05-09,9984,10001,H
2009-05-16,9987,8635,A
2009-05-16,9991,9985,A
2009-05-16,10000,9998,H
2009-05-16,7947,9986,A
2009-05-16,9999,9984,A
2009-05-15,8203,9994,H
2009-05-16,8342,9996,H
2009-05-16,10001,8571,A
2009-05-16,4049,9993,H
2008-09-13,8342,7947,D
2008-09-13,9985,8571,H
2008-09-13,9998,8635,A
2008-09-14,10000,9987,A
2008-09-14,9986,9984,H
2008-09-13,9994,10001,D
2008-09-13,8203,4049,D
2008-09-13,9996,9991,H
2008-09-13,9993,9999,H
2008-09-19,8635,9986,H
2008-09-21,9987,8342,A
2008-09-20,9984,9993,H
2008-09-20,9991,8203,A
2008-09-20,7947,10000,H
2008-09-20,9999,9994,A
2008-09-20,8571,9998,H
2008-09-21,4049,9985,A
2008-09-20,10001,9996,D
2008-09-27,8342,10001,H
2008-09-26,9985,8635,H
2008-09-27,9998,9999,H
2008-09-27,10000,4049,H
2008-09-27,9986,8571,A
2008-09-27,9994,9984,D
2008-09-29,8203,7947,H
2008-09-28,9996,9987,A
2008-09-28,9993,9991,D
2008-10-03,8635,9996,H
2008-10-04,9987,8203,H
2008-10-04,9998,9986,D
2008-10-05,9984,9985,H
2008-10-04,9991,9994,D
2008-10-05,9999,8342,A
2008-10-04,8571,9993,D
2008-10-04,4049,7947,H
2008-10-04,10001,10000,H
2008-10-19,8342,9984,H
2008-10-18,9985,9998,H
2008-10-19,10000,8635,H
2008-10-18,9994,8571,H
2008-10-18,7947,9987,A
2008-10-18,8203,10001,A
2008-10-18,9996,9999,H
2008-10-18,4049,9991,A
2008-10-18,9993,9986,A
2008-10-25,8635,8203,H
2008-10-26,9987,9985,D
2008-10-25,9998,9993,D
2008-10-25,9986,9994,D
2008-10-25,9984,7947,A
2008-10-26,9991,8342,H
2008-10-25,9999,10000,A
2008-10-24,8571,9996,D
2008-10-25,10001,4049,H
2009-07-31,9985,9997,D
2009-08-02,9986,8342,A
2009-08-02,9984,9991,A
2009-08-01,9994,10000,D
2009-08-01,8571,8635,A
2009-08-01,8203,10001,H
2009-08-01,9999,9993,D
2009-10-04,8342,8635,H
2009-10-04,9985,9987,H
2009-10-03,9997,10000,A
2009-10-03,9986,8571,D
2009-10-03,8203,9994,H
2009-10-03,9999,9984,H
2009-10-03,9993,10001,H
2009-10-18,8342,9991,H
2009-10-17,8635,9986,H
2009-10-18,9987,8203,A
2009-10-17,10000,9993,H
2009-10-17,9994,9984,D
2009-10-17,8571,9999,H
2009-10-17,10001,9985,H
2009-10-24,9985,10000,D
2009-10-24,9997,9991,A
2009-10-24,9986,10001,D
2009-10-24,9984,8571,D
2009-10-23,9994,9987,A
2009-10-25,8203,8635,A
2009-10-25,9999,8342,A
2009-10-31,8342,9997,H
2009-10-31,8635,9994,H
2009-11-02,9987,9984,H
2009-10-31,10000,9986,D
2009-11-01,9991,9993,A
2009-10-31,8571,8203,H
2009-10-31,10001,9999,D
2009-11-08,9985,8342,H
2009-11-08,9987,8635,A
2009-11-06,9986,9991,A
2009-11-07,9984,10001,H
2009-11-07,9994,8571,D
2009-11-07,9999,10000,H
2009-11-07,9993,9997,H
2009-11-21,8342,9993,A
2009-11-21,8635,9999,H
2009-11-21,9997,9984,D
2009-11-22,10000,8203,H
2009-11-21,9991,9985,H
2009-11-22,8571,9987,H
2009-11-21,10001,9994,H
2009-11-28,8342,9986,H
2009-11-27,8635,8571,H
2009-11-29,9997,9985,H
2009-11-29,10000,9994,H
2009-11-28,9991,9984,H
2009-11-28,10001,8203,H
2009-11-28,9993,9999,H
2009-12-05,9985,9993,D
2009-12-05,9987,10001,D
2009-12-05,9986,9997,D
2009-12-06,9984,8635,A
2009-12-06,9994,8342,A
2009-12-05,8571,10000,H
2009-12-04,8203,9991,A
2009-12-12,8342,8203,D
2009-12-12,9985,9999,A
2009-12-12,9997,8571,A
2009-12-13,10000,9984,H
2009-12-13,9991,9987,H
2009-12-11,10001,8635,A
2009-12-12,9993,9986,D
2010-02-03,8635,8342,H
2009-12-19,9987,10000,D
2010-02-04,9986,9985,A
2009-12-19,9994,9991,A
2009-12-19,8571,10001,D
2010-02-02,8203,9993,H
2009-12-19,9999,9997,A
2009-08-09,8342,9994,H
2009-08-08,8635,9984,H
2009-08-08,9997,9986,D
2009-08-08,10000,9987,D
2009-08-09,9991,8203,H
2009-08-08,10001,8571,D
2009-08-07,9993,9985,D
2009-12-26,8342,9984,H
2009-12-26,9985,9994,H
2009-12-26,9997,8203,H
2009-12-27,10000,10001,H
2009-12-26,9986,9999,H
2009-12-27,9991,8635,D
2009-12-26,9993,9987,H
2009-12-30,8635,10000,H
2009-12-29,9987,9997,D
2009-12-29,9984,9985,H
2009-12-30,9994,9993,H
2009-12-30,8571,8342,A
2009-12-30,8203,9986,H
2009-12-30,9999,9991,A
2010-01-30,8342,10001,H
2010-01-17,9985,8635,A
2010-01-16,9997,9994,H
2010-01-16,9986,9987,A
2010-01-15,9991,8571,D
2010-01-16,9999,8203,A
2010-01-17,9993,9984,A
2010-01-24,9987,8342,H
2010-01-23,10000,9997,H
2010-02-24,9984,9986,H
2010-01-23,9994,9999,A
2010-01-23,8571,9993,H
2010-01-24,8203,9985,D
2010-01-23,10001,9991,D
2010-01-31,9985,8571,H
2010-02-03,9997,10001,A
2010-03-10,9986,9994,H
2010-01-31,9991,10000,A
2010-01-30,8203,9984,A
2010-02-24,9999,9987,D
2010-01-29,9993,8635,A
2010-02-06,8635,9997,A
2010-02-07,9987,9985,H
2010-02-07,10000,8342,D
2010-02-06,9984,9999,H
2010-02-06,9994,8203,H
2010-02-07,8571,9986,H
2010-02-06,10001,9993,D
2010-02-14,9985,10001,H
2010-03-06,9986,8635,A
2010-03-06,9984,9994,H
2010-02-14,9991,8342,D
2010-03-07,8203,9987,H
2010-02-13,9999,8571,A
2010-03-07,9993,10000,D
2010-02-21,8342,9985,H
2010-02-21,8635,8203,H
2010-02-19,9987,9994,H
2010-02-20,10000,9999,D
2010-02-20,9991,9997,A
2010-02-20,8571,9984,H
2010-02-20,10001,9986,H
2010-02-28,9997,8342,D
2010-02-28,9986,10000,D
2010-02-27,9984,9987,H
2010-02-27,9994,10001,H
2010-02-27,8203,8571,D
2010-02-28,9999,8635,A
2010-02-26,9993,9991,D
2010-03-14,8342,9999,H
2010-03-14,8635,9987,H
2010-03-14,9997,9993,H
2010-03-14,10000,9985,D
2010-03-14,9991,9986,H
2010-03-14,8571,9994,H
2010-03-14,10001,9984,H
2009-08-15,8635,10001,H
2009-08-15,9987,9991,D
2009-08-16,9986,9993,H
2009-08-15,9984,10000,D
2009-08-15,9994,9997,A
2009-08-15,8203,8342,H
2009-08-15,9999,9985,A
2010-03-21,9985,9991,A
2010-03-21,9987,8571,D
2010-03-21,9984,9997,H
2010-03-21,9994,8635,A
2010-03-21,8203,10000,H
2010-03-21,9999,10001,D
2010-03-21,9993,8342,A
2009-08-23,8342,8571,D
2009-08-21,9985,9986,D
2009-08-22,9997,9999,H
2009-08-22,10000,8635,A
2009-08-22,9991,9994,H
2009-08-23,10001,9987,A
2009-08-22,9993,8203,A
2009-08-30,8635,9985,D
2009-08-30,9987,9993,D
2009-08-30,9984,8342,A
2009-08-29,8571,9991,H
2009-08-29,8203,9997,A
2009-08-29,9999,9986,A
2009-08-28,10001,10000,A
2009-09-13,8342,9987,D
2009-09-12,9985,8203,H
2009-09-12,9997,8635,H
2009-09-12,10000,8571,A
2009-09-12,9986,9984,A
2009-09-12,9991,9999,H
2009-09-13,9993,9994,H
2009-09-20,8635,9991,D
2009-09-18,9987,9986,A
2009-09-19,9984,9993,A
2009-09-19,9994,9985,A
2009-09-19,8571,9997,A
2009-09-19,8203,9999,H
2009-09-20,10001,8342,A
2009-09-23,8342,10000,H
2009-09-23,9985,9984,D
2009-09-22,9997,9987,A
2009-09-23,9986,8203,A
2009-09-23,9991,10001,A
2009-09-23,9999,9994,A
2009-09-23,9993,8571,H
2009-09-27,8635,9993,H
2009-09-26,9987,9999,D
2009-09-26,10000,9991,H
2009-09-28,9984,8203,H
2009-09-26,9994,9986,H
2009-09-26,8571,9985,A
2009-09-26,10001,9997,H
2010-07-31,9997,9989,H
2010-07-31,8571,8342,H
2010-07-31,8203,9994,H
2010-07-31,10001,9991,A
2010-07-31,8635,6351,H
2010-07-30,9985,10000,D
2010-08-01,9984,9986,D
2010-08-01,9987,9993,H
2010-10-03,8342,9991,H
